,RIC,name
279,TIETO.HE,TIETOENATOR ORD
280,TKTT.PA,TARKETT
281,TKWY.AS,TAKEAWAY.COM HOLDING ORD
283,TNET.BR^J23,TELENET GRP HLDG ORD
284,TOM.OL,TOMRA SYSTEMS ORD
285,TRIA.PA,TRIGANO ORD
286,TRYG.CO,TRYGVESTA ORD
287,TTEF.PA,TOTAL ORD
288,TWKNc.AS,TWENTSCHE KABEL ORD
289,TYRES.HE,NOKIAN TYRES PLC ORD
290,UBIP.PA,UBISOFT ORD
291,UCB.BR,UCB ORD
292,UMI.BR,UMICORE ORD
293,UNA.AS^K20,UNILEVER OS ORD
294,UPM.HE,UPM-KYMMENE OY ORD
295,URW.PA,UNIBAIL-RODAMCO-WESTFIELD ORD
297,VALMT.HE,VALMET CORP
298,VCTP.PA,VICAT SA ORD
299,VENDA.OL,SCHIBSTED ORD
300,VIE.PA,VEOLIA ENVIRONNEMENT VE ORD
301,VIRB.PA,STE VIRBAC SA
302,VIRI.PA,CGG
303,VIV.PA,VIVENDI ORD
304,VLLP.PA,VALLOUREC ORD
305,VLOF.PA,VALEO ORD
306,VNAn.DE,VONOVIA SE
307,VOLVb.ST,VOLVO CL B ORD
308,VOPA.AS,VOPAK ORD
309,VOWG_p.DE,VOLKSWAGEN PRF
310,VRLA.PA,VERALLIA SASU ORD
311,VWS.CO,VESTAS WIND SYSTEMS ORD
312,WDIG.DE^A21,WIRECARD ORD
313,WDPP.BR,WDP-SICAFI REIT
315,WEHA.AS,WERELDHAVE REIT
316,WLN.PA,WORLDLINE SA
317,WLSNc.AS,WOLTERS KLUWERS ORD
318,WRT1V.HE,WARTSILA ORD
319,YAR.OL,YARA INTL ORD
324,ABIO.PA^J22,ALBIOMA
344,ALMCP.PA,MCPHY ENERGY ORD
350,AOO.BR,AEDIFICA SA
388,CARM.PA,CARMILA ORD
408,DHER.DE,DELIVERY HERO AG ORD
415,DWNG.DE,DT WOHNEN ORD
425,ENTRA.OL,ENTRA ASA
438,FDJU.PA,LA FRANCAISE DES JEUX SA ORD
481,JDEP.AS,JDE PEETS ORD
